Maximum CNC 25 LB,"-0.09207",N
Time at Maximum CNC 25 LB,"0.00000",s
Extension at Maximum CNC 25 LB,"-0.00254",mm
Rate 1,"0.14700",mm/s
Start date,"9/14/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"7.15000","1.04480","-16.20794"
"7.17500","1.04851","-16.25182"
"7.20000","1.05229","-16.25992"
"7.22500","1.05596","-16.30350"
"7.25000","1.05956","-16.31758"
"7.27500","1.06307","-16.34897"
"7.30000","1.06672","-16.37473"
"7.32500","1.07039","-16.39744"
"7.35000","1.07415","-16.43439"
"7.37500","1.07788","-16.44725"
"7.40000","1.08145","-16.48659"
"7.42500","1.08502","-16.49971"
"7.45000","1.08870","-16.53387"
"7.47500","1.09244","-16.55613"
"7.50000","1.09615","-16.58303"
"7.52500","1.09978","-16.60697"
"7.55000","1.10341","-16.63243"
"7.57500","1.10709","-16.66059"
"7.60000","1.11076","-16.68562"
"7.62500","1.11448","-16.70777"
"7.65000","1.11819","-16.73357"
"7.67500","1.12187","-16.75500"
"7.70000","1.12549","-16.78513"
"7.72500","1.12923","-16.80352"
"7.75000","1.13290","-16.82757"
"7.77500","1.13655","-16.84810"
"7.80000","1.14023","-16.87404"
"7.82500","1.14390","-16.90223"
"7.85000","1.14757","-16.92028"
"7.87500","1.15120","-16.94729"
"7.90000","1.15493","-16.96609"
"7.92500","1.15867","-16.99763"
"7.95000","1.16229","-17.02104"
"7.97500","1.16587","-17.04458"
"8.00000","1.16954","-17.06778"
"8.02500","1.17328","-17.09268"
"8.05000","1.17702","-17.11991"
"8.07500","1.18072","-17.14655"
"8.10000","1.18435","-17.16960"
"8.12500","1.18801","-17.19546"
"8.15000","1.19169","-17.21607"
"8.17500","1.19543","-17.24851"
"8.20000","1.19915","-17.26702"
"8.22500","1.20275","-17.29559"
"8.25000","1.20637","-17.31839"
"8.27500","1.21011","-17.34748"
"8.30000","1.21383","-17.37296"
"8.32500","1.21752","-17.39465"
"8.35000","1.22118","-17.42210"
"8.37500","1.22484","-17.44347"
"8.40000","1.22848","-17.47596"
"8.42500","1.23217","-17.49506"
"8.45000","1.23589","-17.52307"
"8.47500","1.23956","-17.54467"
"8.50000","1.24319","-17.57032"
"8.52500","1.24684","-17.59882"
"8.55000","1.25057","-17.62068"
"8.57500","1.25424","-17.65011"
"8.60000","1.25798","-17.66746"
"8.62500","1.26168","-17.70128"
"8.65000","1.26530","-17.71812"
"8.67500","1.26890","-17.74992"
"8.70000","1.27261","-17.76959"
"8.72500","1.27636","-17.79661"
