Maximum CNC 25 LB,3.75536,N,
Time at Maximum CNC 25 LB,15.975,s,
Extension at Maximum CNC 25 LB,23.4379,mm,
Rate 1,1.469,mm/s,
Start date,9/12/2021,,
Specimen label,,,
,,,
Time,Extension,CNC 25 LB,
(s),(mm),(N),
5.25,7.68189,-47.30426,47.30426
5.275,7.71867,-47.47346,47.47346
5.3,7.75606,-47.64277,47.64277
5.325,7.79278,-47.80945,47.80945
5.35,7.82928,-47.97411,47.97411
5.375,7.86586,-48.14227,48.14227
5.4,7.90255,-48.30672,48.30672
5.425,7.93926,-48.46957,48.46957
5.45,7.97603,-48.63115,48.63115
5.475,8.01283,-48.79429,48.79429
5.5,8.05006,-48.95552,48.95552
5.525,8.08687,-49.116,49.116
5.55,8.12318,-49.27414,49.27414
5.575,8.15941,-49.43133,49.43133
5.6,8.19579,-49.59193,49.59193
5.625,8.23233,-49.74961,49.74961
5.65,8.26904,-49.90616,49.90616
5.675,8.3059,-50.06179,50.06179
5.7,8.34268,-50.21608,50.21608
5.725,8.37938,-50.36911,50.36911
5.75,8.41609,-50.52344,50.52344
5.775,8.45293,-50.67485,50.67485
5.8,8.49037,-50.82545,50.82545
5.825,8.52817,-50.97315,50.97315
5.85,8.56519,-51.11946,51.11946
5.875,8.60158,-51.2633,51.2633
5.9,8.63805,-51.40799,51.40799
5.925,8.67463,-51.55231,51.55231
5.95,8.71123,-51.69565,51.69565
5.975,8.74787,-51.84069,51.84069
6,8.78445,-51.98487,51.98487
6.025,8.82096,-52.13283,52.13283
6.05,8.85754,-52.2941,52.2941
6.075,8.89422,-52.46685,52.46685
6.1,8.93131,-52.63315,52.63315
6.125,8.96895,-52.79056,52.79056
6.15,9.0056,-52.94296,52.94296
6.175,9.04195,-53.09379,53.09379
6.2,9.07848,-53.24521,53.24521
6.225,9.11522,-53.39483,53.39483
6.25,9.152,-53.54245,53.54245
6.275,9.18883,-53.69031,53.69031
6.3,9.2257,-53.83745,53.83745
6.325,9.26276,-53.9824,53.9824
6.35,9.29964,-54.12844,54.12844
6.375,9.33613,-54.27527,54.27527
6.4,9.37256,-54.41837,54.41837
6.425,9.40903,-54.56352,54.56352
6.45,9.44567,-54.71127,54.71127
6.475,9.48235,-54.86193,54.86193
6.5,9.51903,-55.01347,55.01347
6.525,9.55564,-55.16768,55.16768
6.55,9.59243,-55.3203,55.3203
6.575,9.62913,-55.47186,55.47186
6.6,9.66577,-55.62024,55.62024
6.625,9.70252,-55.76819,55.76819
6.65,9.73934,-55.91581,55.91581
6.675,9.77608,-56.06569,56.06569
6.7,9.81288,-56.21293,56.21293
6.725,9.84997,-56.35524,56.35524
6.75,9.88766,-56.50219,56.50219
6.775,9.92453,-56.65225,56.65225
6.8,9.96079,-56.7997,56.7997
6.825,9.99711,-56.94796,56.94796
6.85,10.03353,-57.09676,57.09676
6.875,10.07004,-57.2432,57.2432
6.9,10.10662,-57.38798,57.38798
6.925,10.14337,-57.53022,57.53022
6.95,10.18076,-57.67432,57.67432
6.975,10.21743,-57.81792,57.81792
7,10.25384,-57.96061,57.96061
7.025,10.29038,-58.10128,58.10128
7.05,10.327,-58.24305,58.24305
7.075,10.36378,-58.38371,58.38371
7.1,10.40122,-58.51809,58.51809
7.125,10.43793,-58.65269,58.65269
7.15,10.47437,-58.78663,58.78663
7.175,10.5109,-58.91712,58.91712
7.2,10.54747,-59.04742,59.04742
7.225,10.58403,-59.17699,59.17699
7.25,10.62113,-59.30597,59.30597
7.275,10.65787,-59.43314,59.43314
7.3,10.69431,-59.56196,59.56196
7.325,10.73076,-59.69086,59.69086
7.35,10.76728,-59.8204,59.8204
7.375,10.80389,-59.95054,59.95054
7.4,10.84049,-60.07692,60.07692
7.425,10.8771,-60.20401,60.20401
7.45,10.91379,-60.33205,60.33205
7.475,10.95109,-60.45803,60.45803
7.5,10.98805,-60.58068,60.58068
7.525,11.02458,-60.70415,60.70415
7.55,11.06112,-60.83064,60.83064
7.575,11.09782,-60.96377,60.96377
7.6,11.13486,-61.1027,61.1027
7.625,11.17204,-61.24214,61.24214
7.65,11.20854,-61.37928,61.37928
7.675,11.24491,-61.51794,61.51794
7.7,11.28143,-61.65284,61.65284
7.725,11.31799,-61.78984,61.78984
7.75,11.35461,-61.92566,61.92566
7.775,11.39139,-62.06004,62.06004
7.8,11.42815,-62.19198,62.19198
7.825,11.46486,-62.32688,62.32688
7.85,11.50153,-62.4586,62.4586
7.875,11.53825,-62.58956,62.58956
7.9,11.57507,-62.71939,62.71939
7.925,11.6119,-62.85056,62.85056
7.95,11.64863,-62.97913,62.97913
7.975,11.68561,-63.1078,63.1078
8,11.7233,-63.23533,63.23533
8.025,11.76057,-63.3603,63.3603
8.05,11.79713,-63.48734,63.48734
8.075,11.8336,-63.61144,63.61144
8.1,11.87001,-63.73642,63.73642
8.125,11.90675,-63.86185,63.86185
8.15,11.94356,-63.98584,63.98584
8.175,11.98003,-64.10799,64.10799
8.2,12.01646,-64.23006,64.23006
8.225,12.053,-64.33977,64.33977
8.25,12.08959,-64.44908,64.44908
8.275,12.12619,-64.56412,64.56412
8.3,12.16283,-64.68116,64.68116
8.325,12.19952,-64.79517,64.79517
8.35,12.23657,-64.91143,64.91143
8.375,12.27387,-65.02478,65.02478
8.4,12.31053,-65.13791,65.13791
8.425,12.34705,-65.25031,65.25031
8.45,12.38373,-65.36329,65.36329
8.475,12.42058,-65.47386,65.47386
8.5,12.45728,-65.58466,65.58466
8.525,12.49381,-65.69715,65.69715
8.55,12.53037,-65.80648,65.80648
8.575,12.56688,-65.91551,65.91551
8.6,12.60345,-66.02544,66.02544
8.625,12.64015,-66.13289,66.13289
8.65,12.67705,-66.2405,66.2405
8.675,12.71382,-66.34795,66.34795
8.7,12.75046,-66.45155,66.45155
8.725,12.78707,-66.55209,66.55209
8.75,12.82373,-66.65211,66.65211
8.775,12.8607,-66.75171,66.75171
8.8,12.89805,-66.84958,66.84958
8.825,12.93468,-66.9413,66.9413
8.85,12.97118,-67.03111,67.03111
8.875,13.00781,-67.12215,67.12215
8.9,13.04447,-67.21572,67.21572
8.925,13.0811,-67.30833,67.30833
8.95,13.11824,-67.40126,67.40126
8.975,13.15484,-67.49423,67.49423
9,13.19119,-67.58711,67.58711
9.025,13.2277,-67.67953,67.67953
9.05,13.26435,-67.77105,67.77105
9.075,13.301,-67.86234,67.86234
9.1,13.3378,-67.95285,67.95285
9.125,13.37515,-68.04353,68.04353
9.15,13.41195,-68.13286,68.13286
9.175,13.44852,-68.21373,68.21373
9.2,13.48513,-68.28407,68.28407
9.225,13.52178,-68.35219,68.35219
9.25,13.55841,-68.4184,68.4184
9.275,13.59528,-68.47636,68.47636
9.3,13.63213,-68.52399,68.52399
9.325,13.6688,-68.57057,68.57057
9.35,13.70541,-68.61538,68.61538
9.375,13.74205,-68.66186,68.66186
9.4,13.77911,-68.70716,68.70716
9.425,13.81666,-68.74214,68.74214
9.45,13.85344,-68.7702,68.7702
9.475,13.88978,-68.79505,68.79505
9.5,13.92632,-68.8229,68.8229
9.525,13.96304,-68.84856,68.84856
9.55,14.00004,-68.87149,68.87149
9.575,14.0371,-68.89396,68.89396
9.6,14.07373,-68.91488,68.91488
9.625,14.1103,-68.93676,68.93676
9.65,14.147,-68.95985,68.95985
9.675,14.18364,-68.9845,68.9845
9.7,14.22025,-69.00961,69.00961
9.725,14.25712,-69.03624,69.03624
9.75,14.29391,-69.06367,69.06367
9.775,14.33063,-69.09095,69.09095
9.8,14.3673,-69.11957,69.11957
9.825,14.40392,-69.14973,69.14973
9.85,14.44055,-69.1786,69.1786
9.875,14.4771,-69.21001,69.21001
9.9,14.51383,-69.24059,69.24059
9.925,14.55057,-69.27125,69.27125
9.95,14.58729,-69.30318,69.30318
9.975,14.62403,-69.33706,69.33706
10,14.66092,-69.37052,69.37052
10.025,14.69838,-69.40311,69.40311
10.05,14.73607,-69.43677,69.43677
10.075,14.77279,-69.46922,69.46922
10.1,14.80905,-69.49769,69.49769
10.125,14.84551,-69.51532,69.51532
10.15,14.88217,-69.52824,69.52824
10.175,14.91886,-69.54353,69.54353
10.2,14.9554,-69.56207,69.56207
10.225,14.99191,-69.58113,69.58113
10.25,15.0284,-69.60066,69.60066
10.275,15.06481,-69.62139,69.62139
10.3,15.10129,-69.6417,69.6417
